3
16 16
31	52	22	-31	91	59	56	56	92	-38	68	35	69	93	33	96
57	61	-34	-17	-43	24	90	8	-2	19	42	9	-37	74	19	11
86	88	94	55	55	76	46	95	-20	-33	-3	87	69	-49	35	12
59	-9	32	99	79	-8	-2	9	-34	24	-41	92	0	66	66	30
16	9	-23	-41	-40	37	-21	18	-27	77	21	-20	-19	44	8	7
72	71	-12	13	33	-29	76	-30	-43	26	-23	0	-43	-13	67	-31
-33	-15	70	28	91	77	13	14	77	-19	50	18	45	98	29	71
-20	99	-43	26	26	-47	3	40	-43	88	63	55	88	-41	-21	59
-28	-2	54	-21	15	-17	43	62	52	-37	76	66	59	16	-21	87
19	54	11	62	-48	94	5	87	85	63	-38	34	64	46	86	-25
43	18	29	-17	5	44	-13	70	28	-15	88	-46	-31	-50	35	55
71	16	-27	84	63	-9	-15	-3	4	89	-8	-24	94	57	94	2
-46	93	-16	99	13	85	24	-19	-37	17	23	94	28	86	18	-34
9	71	-28	-33	54	28	-9	-42	-36	48	-11	-8	21	13	35	38
62	79	7	-15	-15	73	-26	56	21	17	43	77	-37	-37	43	5
40	87	80	-9	-34	-4	99	13	4	-30	-50	47	74	-43	99	11
16 16
84	22	83	22	8	-36	93	-49	79	51	-10	30	38	13	-48	-30
68	0	28	-39	3	74	-43	43	-42	50	44	50	93	83	42	-12
5	25	-20	-39	98	-35	-27	-39	-33	10	-10	56	84	36	31	93
66	30	100	39	94	-10	92	21	44	44	-24	54	47	-6	63	69
-37	97	96	69	75	61	47	11	-48	-2	-10	60	-36	60	-20	97
69	39	23	80	54	63	3	39	-47	16	74	-46	24	-8	20	9
-14	-22	-49	40	-42	55	27	100	-48	85	-6	95	61	37	-43	-40
-8	100	-25	-5	-1	-48	84	94	75	-32	45	91	-43	92	-2	3
-43	-30	-14	-44	46	-22	14	56	8	-41	74	17	61	66	-21	-1
96	80	73	-36	-16	7	-14	38	-17	23	-15	22	-37	-36	35	-26
34	-49	75	68	1	-39	-24	47	28	-22	79	-8	30	64	99	-37
-42	-45	42	-12	68	92	-35	57	36	-47	42	-16	64	67	25	-12
63	19	5	-36	34	70	57	23	17	9	-34	84	4	27	21	-11
12	3	92	39	5	35	-31	17	18	48	98	-45	10	52	-46	92
74	-48	-43	-47	17	35	52	37	7	16	-3	90	-8	-33	25	53
50	5	94	46	70	-30	36	-39	93	10	57	-20	-8	-25	-12	20
16 16
9619	5577	25452	15078	24629	16570	13056	22918	9098	5553	34503	18535	17025	35256	-2546	15065
13040	-6742	9016	8034	-9545	6979	-1451	14792	2551	15538	17231	2488	12817	10398	-3593	-8020
19998	16415	12381	3511	30593	17999	23684	18183	6222	9109	5688	36510	25387	27975	9776	10138
13203	11352	30249	6540	26274	13572	17927	3475	11618	9539	1082	15371	6789	7072	396	25836
13698	4635	6531	999	-9704	-2069	-5913	1829	1899	3038	8523	-8640	-7043	-4658	1255	-5900
11734	-658	2600	-1205	-6393	10593	6065	4255	-7254	17182	-9239	17192	8119	64	-3197	-995
5574	7830	24470	15695	32209	11137	7402	13421	1706	1949	26361	8882	11722	21042	3449	28483
18563	9508	22018	-2374	4590	12546	4006	15254	8644	1709	1607	16981	1625	13153	17850	-10603
-5701	-2452	7723	4531	16794	1463	3134	14668	12615	-6467	19043	11371	12221	24864	4719	2961
26282	10076	4694	-10428	15693	14431	16145	27797	5731	6860	16329	22559	14248	14405	7240	7195
11399	4222	4263	7340	6498	-14789	10457	4329	9722	-2852	13415	8181	2633	8077	8032	-2017
32513	15124	28625	-814	13077	11772	25042	6979	8317	14691	-3550	24675	-2051	1086	4247	15082
16599	575	23022	9986	15974	31792	-4775	22139	-7421	11794	15753	3980	18983	15391	15790	12110
15749	5603	13529	2108	1476	15650	-2295	-799	-6755	8147	1834	1974	-2157	-2187	963	2592
14747	958	8269	-528	9473	5619	2099	13265	6752	-2688	17092	5242	13852	14629	10656	-6378
13870	-7327	-16107	-16303	9202	17569	10272	12682	-2453	13130	-4751	34173	24364	11039	930	79
