-2.86,5.32
11.46,2.4
1.22,-2.16
4.2,2.84
-4,-3
7.82,-4.8
11.56,-2.32
5.58,-1.16
0.4,3.06
-2.36,0.88
1.92,5.18
9.64,3.6
8.02,0.76
3.22,-2.26
4.02,1.54
8.06,-1.26
-2.68,-5.02
5.62,-4.18
-1.44,-0.82
-2.46,3.74
5.86,5.48
11.44,5.08
13,4
6.38,2.92
3.82,4.72
11.44,-3.7
7.26,-2.72
3,-5
-1.44,-3.16
2.7,0.74
-2.82,2.72
0.9,4.28
1.64,3.06
8.26,2.54
7.68,4.86
12.3,0.84
10.48,-1.08
13,-2.56
9.3,-2.74
10.18,-5.08
2.96,-3.62
0.16,-4.24
1.16,-0.64
0.16,1.6
-1.06,2.62
-3.36,-1.22
3.22,5.62
6.78,1.22
9.84,0.92
3.48,-1.18
-1.08,0.38
-1.16,4.28
-3.5,1.28
-2.3,-2.46
1.04,-3.14
4.34,-2.82
5.74,-2.38
4.14,-0.34
5.54,1.92
11.24,1.08
7.96,3.48
5.22,4.06
11.62,3.84
12.68,2.48
7.28,5.94
0.96,5.84
-0.3,5.36
-0.6,-1.76
1.06,1.28
5.26,0.56
12.3,-1.18
9.9,2.26
4.58,-4.56
1.3,-4.9
-3.12,-3.7
-1.72,1.58
-3.24,4.18
-1.38,5.36
3.08,4.58
2.54,2.24
9.78,4.66
4.46,5.92
4,-1.24
9.06,-0.44
6.5,0.24
0.66,0.18
-1.14,-4.44
9.1,-3.7
6.76,-1.58
6.8,-4.28
13.18,1.18
6.7,4.42
3.5,3.88
-3.88,5.66
5.8,-5.1
10.56,-2.74
9,-2
7.36,2.1
4.46,3.64
2,-2
